GarageType,GarageYrBlt,GarageFinish,GarageQual,BsmtExposure,BsmtFinType2,BsmtFinType1,BsmtCond,BsmtQual,MasVnrArea,MasVnrType,Electrical,LotConfig,LandSlope,MSZoning,Foundation,ExterCond,ExterQual,Exterior2nd,Exterior1st,RoofMatl,RoofStyle,YearRemodAdd,YearBuilt,OverallCond,OverallQual,HouseStyle,BldgType,Condition2,BsmtFinSF1,LotArea,Street,LotShape,Condition1,Neighborhood,LandContour,Utilities,SaleCondition,HeatingQC,BsmtFinSF2,TotRmsAbvGrd,YrSold,MoSold,MiscVal,PoolArea,ScreenPorch,3SsnPorch,EnclosedPorch,OpenPorchSF,WoodDeckSF,PavedDrive,GarageArea,GarageCars,Fireplaces,Functional,KitchenQual,BsmtUnfSF,KitchenAbvGr,BedroomAbvGr,HalfBath,FullBath,BsmtHalfBath,BsmtFullBath,GrLivArea,LowQualFinSF,2ndFlrSF,1stFlrSF,CentralAir,SaleType,Heating,TotalBsmtSF,MSSubClass
Attchd,2003.0,RFn,TA,No,Unf,GLQ,TA,Gd,196.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2003,2003,5,7,2Story,1Fam,Norm,706,8450,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,8,2008,2,0,0,0,0,0,61,0,Y,548,2,0,Typ,Gd,150,1,3,1,2,0,1,1710,0,854,856,Y,WD,GasA,856,60
Attchd,1976.0,RFn,TA,Gd,Unf,ALQ,TA,Gd,0.0,None,SBrkr,FR2,Gtl,RL,CBlock,TA,TA,MetalSd,MetalSd,CompShg,Gable,1976,1976,8,6,1Story,1Fam,Norm,978,9600,Pave,Reg,Feedr,Veenker,Lvl,AllPub,Normal,Ex,0,6,2007,5,0,0,0,0,0,0,298,Y,460,2,1,Typ,TA,284,1,3,0,2,1,0,1262,0,0,1262,Y,WD,GasA,1262,20
Attchd,2001.0,RFn,TA,Mn,Unf,GLQ,TA,Gd,162.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2002,2001,5,7,2Story,1Fam,Norm,486,11250,Pave,IR1,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,6,2008,9,0,0,0,0,0,42,0,Y,608,2,1,Typ,Gd,434,1,3,1,2,0,1,1786,0,866,920,Y,WD,GasA,920,60
Detchd,1998.0,Unf,TA,No,Unf,ALQ,Gd,TA,0.0,None,SBrkr,Corner,Gtl,RL,BrkTil,TA,TA,Wd Shng,Wd Sdng,CompShg,Gable,1970,1915,5,7,2Story,1Fam,Norm,216,9550,Pave,IR1,Norm,Crawfor,Lvl,AllPub,Abnorml,Gd,0,7,2006,2,0,0,0,0,272,35,0,Y,642,3,1,Typ,Gd,540,1,3,0,1,0,1,1717,0,756,961,Y,WD,GasA,756,70
Attchd,2000.0,RFn,TA,Av,Unf,GLQ,TA,Gd,350.0,BrkFace,SBrkr,FR2,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2000,2000,5,8,2Story,1Fam,Norm,655,14260,Pave,IR1,Norm,NoRidge,Lvl,AllPub,Normal,Ex,0,9,2008,12,0,0,0,0,0,84,192,Y,836,3,1,Typ,Gd,490,1,4,1,2,0,1,2198,0,1053,1145,Y,WD,GasA,1145,60
Attchd,1993.0,Unf,TA,No,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RL,Wood,TA,TA,VinylSd,VinylSd,CompShg,Gable,1995,1993,5,5,1.5Fin,1Fam,Norm,732,14115,Pave,IR1,Norm,Mitchel,Lvl,AllPub,Normal,Ex,0,5,2009,10,700,0,0,320,0,30,40,Y,480,2,0,Typ,TA,64,1,1,1,1,0,1,1362,0,566,796,Y,WD,GasA,796,50
Attchd,2004.0,RFn,TA,Av,Unf,GLQ,TA,Ex,186.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2005,2004,5,8,1Story,1Fam,Norm,1369,10084,Pave,Reg,Norm,Somerst,Lvl,AllPub,Normal,Ex,0,7,2007,8,0,0,0,0,0,57,255,Y,636,2,1,Typ,Gd,317,1,3,0,2,0,1,1694,0,0,1694,Y,WD,GasA,1686,20
Attchd,1973.0,RFn,TA,Mn,BLQ,ALQ,TA,Gd,240.0,Stone,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Gable,1973,1973,6,7,2Story,1Fam,Norm,859,10382,Pave,IR1,PosN,NWAmes,Lvl,AllPub,Normal,Ex,32,7,2009,11,350,0,0,0,228,204,235,Y,484,2,2,Typ,TA,216,1,3,1,2,0,1,2090,0,983,1107,Y,WD,GasA,1107,60
Detchd,1931.0,Unf,Fa,No,Unf,Unf,TA,TA,0.0,None,FuseF,Inside,Gtl,RM,BrkTil,TA,TA,Wd Shng,BrkFace,CompShg,Gable,1950,1931,5,7,1.5Fin,1Fam,Norm,0,6120,Pave,Reg,Artery,OldTown,Lvl,AllPub,Abnorml,Gd,0,8,2008,4,0,0,0,0,205,0,90,Y,468,2,2,Min1,TA,952,2,2,0,2,0,0,1774,0,752,1022,Y,WD,GasA,952,50
Attchd,1939.0,RFn,Gd,No,Unf,GLQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RL,BrkTil,TA,TA,MetalSd,MetalSd,CompShg,Gable,1950,1939,6,5,1.5Unf,2fmCon,Artery,851,7420,Pave,Reg,Artery,BrkSide,Lvl,AllPub,Normal,Ex,0,5,2008,1,0,0,0,0,0,4,0,Y,205,1,2,Typ,TA,140,2,2,0,1,0,1,1077,0,0,1077,Y,WD,GasA,991,190
